file,Material,Inductor,Experiment,x_col,y_col,manual_label,window_start_x,window_end_x,window_start_raw_idx,window_end_raw_idx,peak_index_in_clean_series,peak_raw_idx,peak_x,peak_y,noise_floor,noise_sigma,peak_signal_amplitude,peak_snr_linear,peak_snr_db
ss_9.csv,Stainless Steel,4-Layer,EC-ECLAIR,sensor1, sensor2,Crack 2,3972.527,3990.636,558,630,599,599,3941.045,2.675364,2.653329336,0.006313661,0.022034664,3.489997762,10.85650297
ss_9.csv,Stainless Steel,4-Layer,EC-ECLAIR,sensor1, sensor2,Crack 3,3994.403,3964.076,679,760,721,721,3884.542,2.698609,2.654633442,0.006313661,0.043975558,6.965143701,16.85860162
titan_1.csv,Titanium,4-Layer,EC-ECLAIR,sensor1, sensor2,Crack 1,3470.676,3520.726,378,527,440,440,3332.587,2.67222,2.669894767,0.007127493,0.002325233,0.3262343,-9.72940759
titan_1.csv,Titanium,4-Layer,EC-ECLAIR,sensor1, sensor2,Crack 2,3528.713,3502.455,571,674,626,626,3345.027,2.68328,2.660173475,0.007127493,0.023106525,3.241886609,10.21595641
titan_1.csv,Titanium,4-Layer,EC-ECLAIR,sensor1, sensor2,Crack 3,3447.272,3414.181,752,871,812,812,3182.927,2.714559,2.666035921,0.007127493,0.048523079,6.807874452,16.66023076
titan_2.csv,Titanium,4-Layer,EC-ECLAIR,sensor1, sensor2,Crack 1,3438.952,3486.111,362,482,422,422,3350.676,2.649929,2.648005069,0.005881785,0.001923931,0.327099834,-9.706393533
titan_2.csv,Titanium,4-Layer,EC-ECLAIR,sensor1, sensor2,Crack 2,3458.097,3320.798,541,638,595,595,3287.321,2.664366,2.639728423,0.005881785,0.024637577,4.188792425,12.44177679
titan_2.csv,Titanium,4-Layer,EC-ECLAIR,sensor1, sensor2,Crack 3,3478.418,3189.122,730,860,782,782,3284.647,2.693105,2.648924565,0.005881785,0.044180435,7.511398869,17.51441649
titan_4.csv,Titanium,4-Layer,EC-ECLAIR,sensor1, sensor2,Crack 1,3445.003,3558.835,325,461,423,423,3373.503,2.753582,2.749276346,0.004841926,0.004305654,0.889244172,-1.019579447
titan_4.csv,Titanium,4-Layer,EC-ECLAIR,sensor1, sensor2,Crack 2,3550.109,3492.707,493,597,552,552,3435.741,2.761742,2.746782859,0.004841926,0.014959141,3.089502245,9.797770303
titan_4.csv,Titanium,4-Layer,EC-ECLAIR,sensor1, sensor2,Crack 3,3435.715,3388.934,659,782,721,721,3305.874,2.788408,2.743541113,0.004841926,0.044866887,9.266330616,19.33815583
titan_7.csv,Titanium,4-Layer,EC-ECLAIR,sensor1, sensor2,Crack 1,3484.288,3334.126,322,425,398,398,3344.663,2.84486,2.841359729,0.005274844,0.003500271,0.663578087,-3.562159272
titan_7.csv,Titanium,4-Layer,EC-ECLAIR,sensor1, sensor2,Crack 2,3436.637,3463.266,492,589,531,531,3454.731,2.852862,2.8400285,0.005274844,0.0128335,2.432963137,7.722710577
titan_7.csv,Titanium,4-Layer,EC-ECLAIR,sensor1, sensor2,Crack 3,3457.075,3330.102,642,773,701,701,3361.501,2.874634,2.837675066,0.005274844,0.036958934,7.006640759,16.91019702
