file,speed,delay,x_col,y_col,manual_label,window_start_x,window_end_x,window_start_raw_idx,window_end_raw_idx,peak_index_in_clean_series,peak_raw_idx,peak_x,peak_y,noise_floor,noise_sigma,peak_signal_amplitude,peak_snr_linear,peak_snr_db
speed70_delay5.csv,70,5,sensor1, sensor2,Crack 2,9363.748,9350.588,1528,1800,1679,1679,9295.514,44.920792,44.64708092,0.003603265,0.273711078,75.96195138,37.61192225
speed70_delay5.csv,70,5,sensor1, sensor2,Crack 2,9378.086,9388.565,3430,3677,3570,3570,9315.764,44.912067,44.64550983,0.003603265,0.266557167,73.97655465,37.38188202
speed70_delay5.csv,70,5,sensor1, sensor2,Crack 3,9385.775,9372.588,1102,1394,1263,1263,9254.136,45.184551,44.64837431,0.003603265,0.536176694,148.8029941,43.4522334
speed70_delay5.csv,70,5,sensor1, sensor2,Crack 3,9394.589,9419.13,3836,4113,3976,3976,9294.099,45.176712,44.64747303,0.003603265,0.529238971,146.8775953,43.33911107
speed70_delay50.csv,70,50,sensor1, sensor2,Crack 1,9340.193,9335.67,130,155,142,142,9326.934,44.727901,44.6593311,0.004954605,0.068569904,13.83963207,22.82249089
speed70_delay50.csv,70,50,sensor1, sensor2,Crack 1,9345.088,9356.361,233,258,248,248,9340.561,44.727772,44.65924723,0.004954605,0.068524771,13.83052268,22.81677186
speed70_delay50.csv,70,50,sensor1, sensor2,Crack 2,9362.21,9348.188,84,112,98,98,9297.064,44.911068,44.65493665,0.004954605,0.256131355,51.69561997,34.26907496
speed70_delay50.csv,70,50,sensor1, sensor2,Crack 2,9370.911,9381.479,278,304,292,292,9316.33,44.910431,44.65676786,0.004954605,0.253663143,51.19745468,34.18496741
speed70_delay50.csv,70,50,sensor1, sensor2,Crack 3,9383.289,9370.041,39,69,54,54,9256.425,45.167442,44.65123364,0.004954605,0.516208358,104.1875999,40.35632067
speed70_delay50.csv,70,50,sensor1, sensor2,Crack 3,9393.479,9422.008,321,353,336,336,9291.002,45.164642,44.66113088,0.004954605,0.503511119,101.6248849,40.14000133
speed80_delay10.csv,80,10,sensor1, sensor2,Crack 1,9342.508,9333.99,1885,2009,1953,1953,9326.072,44.736931,44.66861277,0.005895638,0.068318229,11.58792727,21.28011521
speed80_delay10.csv,80,10,sensor1, sensor2,Crack 1,9340.959,9356.262,2309,2438,2374,2374,9334.989,44.733398,44.66836225,0.005895638,0.065035748,11.03116302,20.85242605
speed80_delay10.csv,80,10,sensor1, sensor2,Crack 2,9358.049,9344.139,1709,1820,1775,1775,9292.928,44.92564,44.66106095,0.005895638,0.264579055,44.87708336,33.04049247
speed80_delay10.csv,80,10,sensor1, sensor2,Crack 2,9368.365,9384.667,2509,2620,2571,2571,9310.636,44.925575,44.6611374,0.005895638,0.264437603,44.85309077,33.0358475
speed80_delay10.csv,80,10,sensor1, sensor2,Crack 3,9389.777,9364.969,1517,1644,1597,1597,9248.863,45.191917,44.65808725,0.005895638,0.533829748,90.54655559,39.13743869
speed80_delay10.csv,80,10,sensor1, sensor2,Crack 3,9391.156,9424.633,2682,2822,2750,2750,9288.155,45.18206,44.66852088,0.005895638,0.513539122,87.1049222,38.80085394
speed80_delay25.csv,80,25,sensor1, sensor2,Crack 1,9336.552,9330.401,232,283,253,253,9323.842,44.722702,44.66490484,0.002687142,0.057797155,21.50878019,26.65231563
speed80_delay25.csv,80,25,sensor1, sensor2,Crack 1,9336.565,9354.529,375,426,401,401,9336.596,44.723003,44.66456277,0.002687142,0.058440232,21.74809649,26.74842502
speed80_delay25.csv,80,25,sensor1, sensor2,Crack 2,9358.737,9342.643,152,206,179,179,9303.898,44.861473,44.66462469,0.002687142,0.196848308,73.25562942,37.29682008
speed80_delay25.csv,80,25,sensor1, sensor2,Crack 2,9364.732,9382.435,448,504,476,476,9328.479,44.862221,44.66374969,0.002687142,0.198471308,73.85961676,37.368141
speed80_delay25.csv,80,25,sensor1, sensor2,Crack 3,9385.07,9363.381,73,137,105,105,9279.988,45.052151,44.66378585,0.002687142,0.388365149,144.5271935,43.19899139
speed80_delay25.csv,80,25,sensor1, sensor2,Crack 3,9390.41,9416.563,523,584,552,552,9310.679,45.054245,44.66002964,0.002687142,0.394215362,146.7043064,43.32885725
speed80_delay5.csv,80,5,sensor1, sensor2,Crack 1,9343.223,9336.367,1261,1461,1384,1384,9330.719,44.727428,44.64970866,0.003236037,0.077719342,24.01682451,27.6103117
speed80_delay5.csv,80,5,sensor1, sensor2,Crack 1,9349.053,9363.748,2261,2494,2364,2364,9340.926,44.726719,44.64958732,0.003236037,0.077131685,23.83522664,27.54438572
speed80_delay5.csv,80,5,sensor1, sensor2,Crack 2,9360.906,9346.487,917,1109,1030,1030,9297.229,44.915833,44.65036871,0.003236037,0.26546429,82.0337525,38.27985156
speed80_delay5.csv,80,5,sensor1, sensor2,Crack 2,9374.933,9393.611,2625,2833,2736,2736,9314.406,44.918613,44.65013034,0.003236037,0.26848266,82.96648896,38.37805423
